# Which corpus groups exercise each language-spec section. Judgment mapping,
# made by reading each section and confirming against fixtures; regenerate by
# re-reading, not by name-matching. NONE is a finding. Read by tools/progress.py.
spec_file	heading	class	pass_groups	fail_groups	note
assembly	Blocks and assertions	advanced	inline_asm	inline_asm	pass: asm_where_exact_clobbers_compile (requires/ensures/exact clobber set), asm_multi_instruction_block_compile; fail: asm_where_missing_clobber, asm_where_extra_clobber, asm_where_contract, asm_serialize_rejects_clobber_contract
assembly	Instruction obligations	advanced	inline_asm	inline_asm,ports	pass: asm_cache_maintenance_compile (reaches MachineControl), asm_msr_compile, asm_machine_control_wrapper_reach (helper cannot drop requirements); fail: asm_*_requires_machine_authority, asm_service_import_required, asm_port_io_service_required, ports/asm_port_in_unsettled
assembly	Control flow and machine state	advanced	inline_asm	inline_asm	pass: asm_block_jmp_state (jmp to an Omega state), asm_flags_compile, asm_control_registers_compile, asm_interrupt_control_compile; fail: asm_hidden_return, asm_label_loop, asm_deriver_only_exit, asm_popfq_requires_saved_place. Final machine-state evidence / floating-control restoration under asm untested
assembly	Hardware memory	advanced	inline_asm,memory	inline_asm,core	pass: asm_memory_transfer_compile (ldr/str on typed places), asm_cache_maintenance_compile, asm_port_out_final_validation, memory/address_translation_canary (TLB shootdown debt on unmap); fail: asm_mov_bracket_memory (integer address grants no authority), asm_lidt_deriver_only, core/translation_shootdown_scope_loss, translation_unmap_before_activation
concurrency	Atomic operations	advanced	atomics,core	atomics,core	pass: runtime_atomic_{load_store,swap,fetch_add,fetch_sub,fetch_and,fetch_or,fetch_xor,compare_exchange}_exit, shared_receiver_atomic_store, core/atomic_outcomes_core_surface (all outcome sums incl. Uncommitted, zero tag = Mismatched); fail: atomics/shared_receiver_plain_field_write, core/atomic_outcome_key_parameter_rejected
concurrency	Orderings	advanced	atomics	atomics	pass: atomic_global_order_operations (NoOrdering/Receive/Publish/ReceivePublish/GlobalOrder, separate CAS success/failure); fail: atomic_compare_exchange_failure_publish_rejected, _failure_stronger_rejected, atomic_load_publish_ordering_rejected, atomic_store_receive_ordering_rejected, atomic_unknown_ordering_rejected, atomic_legacy_ordering_rejected
concurrency	Fences and participants	advanced	inline_asm	NONE	PARTIAL: only the ISA-barrier paragraph is exercised (inline_asm/asm_fences_compile: lfence/sfence/mfence contracts). No fixture uses Atomic::fence, FenceOrdering, or interruption_fence; the fence-synchronization rules are untested
concurrency	Protocol proofs	advanced	NONE	NONE	No fixture states linearizability/FIFO/no-lost-wakeup or waits-for/owns/releases edges. fail/concurrency mutex_lock_guard and barrier_wait_contract only pin that Mutex/Barrier library types are absent (unknown generic type), not this rule. Straddles meta
conformances	Declaration and selection	typical	traits,providers,generics	traits,generics	pass: runtime_conformance_item_exit (`Circle satisfies Shape;` named map, explicit selection), trait_declaration_bundle, generic_trait_parameter, providers/adapter_satisfies_compile, generics/nominal_machine_parameter_satisfaction_compile; fail: traits/conformance_item_unknown_trait, trait_satisfies_{unknown,arity_mismatch,missing_machine}, generics/nominal_binder_implicit_selection_rejected (no ambient selection). Conformance-application lifetime elision untested
conformances	Complete row identity	typical	traits,proofs	traits	pass: trait_header_parent_composition (`: Resettable + Policy<C>`), trait_composition_satisfies, boundary_policy_and_service_parents (boundary parents), dyn_finite_family_dispatch (reference row `Shape::code = Item::code`, finite-family rows), proofs/quotient_lift_managed_compile (reference rows); fail: ordinary_trait_inherits_boundary, conformance_item_missing_member, trait_composition_missing_requirement, dyn_finite_family_non_member, generic_trait_default_binding_mismatch
conformances	Exact requirement edges	typical	traits,providers,capabilities,float	traits,domains,generics,providers	pass: ring_requirement_satisfies_exit (`satisfies Trait::req as Name`, no whole-map claim), providers/adapter_satisfies_compile, capabilities/external_leaf_binding_forms, float/named_requirement_fused_multiply_add_exit; fail: traits/free_machine_bare_satisfies_rejected, ring_requirement_unknown_rejected, domains/signature_free_requirement_route_overloaded, generics/signature_free_nominal_binder_overloaded, providers/via_requires_satisfies. Test-group registration untested
conformances	Transparent refinements	typical	traits	traits	pass: transparent_refinement_declaration (`trait LocalLogger = Logger { machine * suspends false; ... }`); fail: transparent_refinement_widening_axis, transparent_refinement_satisfies_rejected, transparent_refinement_conformance_target, transparent_refinement_unknown_requirement
conformances	Core equality acquisition	typical	traits,data	traits,data,expressions	pass: equatable_sum_payload_equality_exit, equatable_record_equality_exit, equatable_erased_field_record_exit, equatable_string_field_equality_exit, data/payload_less_case_equality; fail: traits/equatable_field_not_equatable, equatable_recursive_type, equatable_missing_conformance_suggested, equatable_all_erased_record_rejected, data/bare_payload_case_equality_*, expressions/cross_type_equality_rejected
constants	Evaluation	core	constants,modules,comptime	constants,modules	pass: constants/const_computed_initializer (60 + 10), modules/computed_constant_initializers (7 / 2 * 2 exact rational, match in initializer), machine_constant_initializers, comptime/runtime_const_array_length_exit; fail: modules/match_initializer_fraction, constants/affine_rational_named_constant (copy eligibility), const_shadows_case, const_free_floating_rejected
constants	Materialization	meta	constants,relevance	proofs,data,constants	pass: constants/runtime_free_const_exit, runtime_scoped_const_exit (constants realized as runtime bytes), relevance/erased_parameter_proof_only (proof-only value occupies no runtime bytes); fail: proofs/float_meaning_runtime_consumption_rejected, core_nat_runtime_consumption_rejected, data/proof_only_runtime_property_rejected, constants/unused_array_constant_shape. NaN-payload and quotient-representative materialization untested
counts_and_addresses	Separate roles	core	types	types	pass: runtime_addr_algebra_exit (addr - count, addr - addr -> u64, ordering), runtime_addr_field_exit, runtime_addr_value_flow_exit; fail: usize_rejected, isize_rejected, addr_plus_addr_rejected
counts_and_addresses	Bounds and lowering	core	slices,collections,arithmetic,ranges,range	slices,collections,arithmetic,ranges	pass: slices/guarded_slice_parameter_index_compile, runtime_signed_index_guarded_exit, collections/runtime_declared_range_index_read_exit, arithmetic/exact_integer_cast_proven, narrowing_flow_and_widen_permitted, range/runtime_guarded_runtime_index_increment_exit; fail: slices/slice_parameter_index_unproven, collections/u64_high_bit_index_rejected, computed_index_unproven_rejected, fixed_vec_get_past_length (live length not capacity), arithmetic/narrowing_*_unproven, ranges/index_signed_guard_below_zero. The no_wrap 2^32 boundary example untested
counts_and_addresses	Nominal index qualifications	typical	NONE	collections	No fixture qualifies an index carrier nominally (room index vs item index). fail/collections/fixed_vec_get_past_length and vec_invalidated_loan_after_growth pin only the 'shrunk/live bound must be re-established' half; the nominal-tag-never-licenses-stale-access rule is untested
data_and_literals	Construction and case identity	core	data,control_flow,structs	data	pass: case_payload_native_construction, case_payload_declaration, runtime_case_reassignment_exit, runtime_data_properties_exit, control_flow/sum_field_storage_roundtrip, structs/runtime_nested_struct_construction_exit; fail: field_default_retired, struct_literal_duplicate_field_rejected, case_payload_malformed, mixed_record_literal, mixed_payload_field_shadows_common, construction_field_shape_mismatch_rejected
data_and_literals	Case constraints	typical	dependent	dependent	pass: case_where_bound_literal_proves, case_where_generic_type_bound, case_where_match_arm_facts, case_where_zero_decided_first_case, case_where_linear_payload_moves; fail: case_where_reversed_bound_rejected, case_where_sibling_payload_scope, case_where_generic_type_bound_rejected, case_where_unproved_bound_rejected, case_where_zero_refuted_first_case_rejected
data_and_literals	Lexical profile	core	parser	parse,parser,data	PARTIAL: parser/invariant_is_an_identifier (identifier grammar, `invariant` not reserved), deep_nesting_within_limit; fail: parse/machine_clause_garbage_rejected, parser/nesting_exceeds_max_depth, data/builtin_type_name_shadow. No fixture rejects Unicode identifiers or non-ASCII whitespace
data_and_literals	Quoted bytes	core	collections,text,filesystem	data	pass: collections/zero_length_byte_array_admission (`\"\"` into [u8; 0], exact-length copy), text/runtime_utf16_literal_exit (\\r \\n \\0 escapes ride the decoder), filesystem/native_errno (\\n in literal args); fail: data/zero_length_byte_literal_length_rejected (no truncation/padding). \\xNN, \\\" escapes and codepoint-escape rejection untested
dependent_values	Static indices and runtime witnesses	typical	generics,dependent,layouts	generics,dependent	pass: generics/value_generic_runtime_argument (runtime-capable binder is not a static key), dependent/runtime_sibling_len_index_exit (stored witness `index < items.len`), layouts/runtime_plan_laid_tiled_record_nested_array_view_exit (count/stride view geometry); fail: generics/const_generic_runtime_argument, dependent/sibling_len_unknown_sibling_rejected, sibling_len_arg_unrelated_rejected
dependent_values	Establishment and witness loans	typical	dependent,domains	dependent	pass: data_where_witness_write_after_borrow_compile, state_arrival_contract_guarded_compile, data_where_callee_establishes, domains/semantic_cast_guard_chain_mint (guard establishes); fail: data_where_live_borrow_pins_witness_rejected, data_where_borrow_during_window_rejected, state_arrival_contract_unproven_rejected, dependent_forward_after_write_rejected
dependent_values	Default domains and zero initialization	core	dependent,data,core,ownership	dependent,arithmetic,data	pass: data_where_zero_satisfying, data_where_gated_construction_compile, case_where_zero_decided_first_case, data/case_first_payload_zero_established, core/zii_default_composite_exit (zero sum = first case), ownership/linear_zero_storage_unestablished; fail: data_where_gated_field_omitted_rejected, data_where_literal_violates, arithmetic/zii_range_excludes_zero_rejected, data/property_zero_init_retired. Binding<R> custody gate untested
dependent_values	Invariant windows	typical	dependent,constraints	dependent,constraints,parse,relax	pass: data_where_invariant_window_restored_exit, data_where_window_closes, indexed_data_where_window_restored_exit, nested_data_where_window_restored_exit, data_where_field_read_during_window_compile; fail: data_where_invariant_window_unclosed_rejected, *_window_unclosed_*, data_where_whole_read_during_window_rejected, constraints/finite_window_open_at_consumption, parse/relax_retired, relax/retired_relax_statement, retired_relaxed_reference (not a source `relax` mode)
